Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;8.0;4.0;9.0;28.54;28.54;27.54;29.54;2;24.5;80;4.5
2024.0;8.0;4.0;10.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;8.0;4.0;11.0;29.7;29.7;28.70;30.70;2;25.7;80;4.5
2024.0;8.0;4.0;12.0;30.77;30.77;29.77;31.77;2;26.8;80;4.5
2024.0;8.0;4.0;13.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;8.0;4.0;14.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;8.0;4.0;15.0;30.46;30.46;29.46;31.46;2;26.5;80;4.5
2024.0;8.0;4.0;16.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;8.0;4.0;17.0;30.4;30.4;29.40;31.40;2;26.4;80;4.5
2024.0;8.0;4.0;18.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;8.0;4.0;19.0;29.28;29.28;28.28;30.28;2;25.3;80;4.5
2024.0;8.0;4.0;20.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;8.0;4.0;21.0;29.15;29.15;28.15;30.15;2;25.1;80;4.5
2024.0;8.0;4.0;22.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;8.0;4.0;23.0;27.29;27.29;26.29;28.29;2;23.3;80;4.5
2024.0;8.0;4.0;24.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;8.0;5.0;1.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;8.0;5.0;2.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;8.0;5.0;3.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;8.0;5.0;4.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;8.0;5.0;5.0;27.26;27.26;26.26;28.26;2;23.3;80;4.5
2024.0;8.0;5.0;6.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;8.0;5.0;7.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;8.0;5.0;8.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;8.0;5.0;9.0;29.1;29.1;28.10;30.10;2;25.1;80;4.5
2024.0;8.0;5.0;10.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;8.0;5.0;11.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;8.0;5.0;12.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;8.0;5.0;13.0;30.58;30.58;29.58;31.58;2;26.6;80;4.5
2024.0;8.0;5.0;14.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;8.0;5.0;15.0;31.8;31.8;30.80;32.80;2;27.8;80;4.5
2024.0;8.0;5.0;16.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;8.0;5.0;17.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;8.0;5.0;18.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;8.0;5.0;19.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;8.0;5.0;20.0;29.06;29.06;28.06;30.06;2;25.1;80;4.5
2024.0;8.0;5.0;21.0;28.91;28.91;27.91;29.91;2;24.9;80;4.5
2024.0;8.0;5.0;22.0;28.54;28.54;27.54;29.54;2;24.5;80;4.5
2024.0;8.0;5.0;23.0;28.61;28.61;27.61;29.61;2;24.6;80;4.5
2024.0;8.0;5.0;24.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;8.0;6.0;1.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;8.0;6.0;2.0;26.81;26.81;25.81;27.81;2;22.8;80;4.5
2024.0;8.0;6.0;3.0;26.85;26.85;25.85;27.85;2;22.9;80;4.5
2024.0;8.0;6.0;4.0;26.02;26.02;25.02;27.02;2;22.0;80;4.5
2024.0;8.0;6.0;5.0;26.23;26.23;25.23;27.23;2;22.2;80;4.5
2024.0;8.0;6.0;6.0;27.52;27.52;26.52;28.52;2;23.5;80;4.5
2024.0;8.0;6.0;7.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;8.0;6.0;8.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;8.0;6.0;9.0;29.3;29.3;28.30;30.30;2;25.3;80;4.5
2024.0;8.0;6.0;10.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;8.0;6.0;11.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;8.0;6.0;12.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;8.0;6.0;13.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;8.0;6.0;14.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;8.0;6.0;15.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;8.0;6.0;16.0;31.7;31.7;30.70;32.70;2;27.7;80;4.5
2024.0;8.0;6.0;17.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;8.0;6.0;18.0;30.32;30.32;29.32;31.32;2;26.3;80;4.5
2024.0;8.0;6.0;19.0;29.52;29.52;28.52;30.52;2;25.5;80;4.5
2024.0;8.0;6.0;20.0;30.03;30.03;29.03;31.03;2;26.0;80;4.5
2024.0;8.0;6.0;21.0;29.52;29.52;28.52;30.52;2;25.5;80;4.5
2024.0;8.0;6.0;22.0;28.47;28.47;27.47;29.47;2;24.5;80;4.5
2024.0;8.0;6.0;23.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;8.0;6.0;24.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;8.0;7.0;1.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;8.0;7.0;2.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;8.0;7.0;3.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;8.0;7.0;4.0;26.32;26.32;25.32;27.32;2;22.3;80;4.5
2024.0;8.0;7.0;5.0;26.85;26.85;25.85;27.85;2;22.9;80;4.5
2024.0;8.0;7.0;6.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;8.0;7.0;7.0;27.43;27.43;26.43;28.43;2;23.4;80;4.5
2024.0;8.0;7.0;8.0;28.78;28.78;27.78;29.78;2;24.8;80;4.5
2024.0;8.0;7.0;9.0;29.04;29.04;28.04;30.04;2;25.0;80;4.5
2024.0;8.0;7.0;10.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;8.0;7.0;11.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;8.0;7.0;12.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;8.0;7.0;13.0;31.15;31.15;30.15;32.15;2;27.1;80;4.5
2024.0;8.0;7.0;14.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;8.0;7.0;15.0;31.1;31.1;30.10;32.10;2;27.1;80;4.5
2024.0;8.0;7.0;16.0;31.06;31.06;30.06;32.06;2;27.1;80;4.5
2024.0;8.0;7.0;17.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;8.0;7.0;18.0;29.53;29.53;28.53;30.53;2;25.5;80;4.5
2024.0;8.0;7.0;19.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;8.0;7.0;20.0;29.64;29.64;28.64;30.64;2;25.6;80;4.5
2024.0;8.0;7.0;21.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;8.0;7.0;22.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;7.0;23.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;7.0;24.0;27.26;27.26;26.26;28.26;2;23.3;80;4.5
2024.0;8.0;8.0;1.0;26.48;26.48;25.48;27.48;2;22.5;80;4.5
2024.0;8.0;8.0;2.0;26.77;26.77;25.77;27.77;2;22.8;80;4.5
2024.0;8.0;8.0;3.0;26.94;26.94;25.94;27.94;2;22.9;80;4.5
2024.0;8.0;8.0;4.0;26.43;26.43;25.43;27.43;2;22.4;80;4.5
2024.0;8.0;8.0;5.0;27.05;27.05;26.05;28.05;2;23.1;80;4.5
2024.0;8.0;8.0;6.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;8.0;8.0;7.0;29.18;29.18;28.18;30.18;2;25.2;80;4.5
2024.0;8.0;8.0;8.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;8.0;8.0;9.0;29.45;29.45;28.45;30.45;2;25.4;80;4.5
2024.0;8.0;8.0;10.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;8.0;8.0;11.0;29.08;29.08;28.08;30.08;2;25.1;80;4.5
2024.0;8.0;8.0;12.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;8.0;8.0;13.0;30.58;30.58;29.58;31.58;2;26.6;80;4.5
2024.0;8.0;8.0;14.0;32.01;32.01;31.01;33.01;2;28.0;80;4.5
2024.0;8.0;8.0;15.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;8.0;8.0;16.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;8.0;8.0;17.0;30.41;30.41;29.41;31.41;2;26.4;80;4.5
2024.0;8.0;8.0;18.0;30.37;30.37;29.37;31.37;2;26.4;80;4.5
2024.0;8.0;8.0;19.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;8.0;8.0;20.0;29.23;29.23;28.23;30.23;2;25.2;80;4.5
2024.0;8.0;8.0;21.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;8.0;8.0;22.0;28.23;28.23;27.23;29.23;2;24.2;80;4.5
2024.0;8.0;8.0;23.0;28.76;28.76;27.76;29.76;2;24.8;80;4.5
2024.0;8.0;8.0;24.0;26.59;26.59;25.59;27.59;2;22.6;80;4.5
2024.0;8.0;9.0;1.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;8.0;9.0;2.0;26.58;26.58;25.58;27.58;2;22.6;80;4.5
2024.0;8.0;9.0;3.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;8.0;9.0;4.0;25.62;25.62;24.62;26.62;2;21.6;80;4.5
2024.0;8.0;9.0;5.0;28.01;28.01;27.01;29.01;2;24.0;80;4.5
2024.0;8.0;9.0;6.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;8.0;9.0;7.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;8.0;9.0;8.0;28.53;28.53;27.53;29.53;2;24.5;80;4.5
2024.0;8.0;9.0;9.0;28.51;28.51;27.51;29.51;2;24.5;80;4.5
2024.0;8.0;9.0;10.0;28.85;28.85;27.85;29.85;2;24.9;80;4.5
2024.0;8.0;9.0;11.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;8.0;9.0;12.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;8.0;9.0;13.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;8.0;9.0;14.0;30.76;30.76;29.76;31.76;2;26.8;80;4.5
2024.0;8.0;9.0;15.0;32.5;32.5;31.50;33.50;2;28.5;80;4.5
2024.0;8.0;9.0;16.0;31.29;31.29;30.29;32.29;2;27.3;80;4.5
2024.0;8.0;9.0;17.0;30.78;30.78;29.78;31.78;2;26.8;80;4.5
2024.0;8.0;9.0;18.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;8.0;9.0;19.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;8.0;9.0;20.0;29.13;29.13;28.13;30.13;2;25.1;80;4.5
2024.0;8.0;9.0;21.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;8.0;9.0;22.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;8.0;9.0;23.0;28.69;28.69;27.69;29.69;2;24.7;80;4.5
2024.0;8.0;9.0;24.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;8.0;10.0;1.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;8.0;10.0;2.0;25.81;25.81;24.81;26.81;2;21.8;80;4.5
2024.0;8.0;10.0;3.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;8.0;10.0;4.0;26.72;26.72;25.72;27.72;2;22.7;80;4.5
2024.0;8.0;10.0;5.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;8.0;10.0;6.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;8.0;10.0;7.0;27.59;27.59;26.59;28.59;2;23.6;80;4.5
2024.0;8.0;10.0;8.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;8.0;10.0;9.0;28.84;28.84;27.84;29.84;2;24.8;80;4.5
2024.0;8.0;10.0;10.0;28.55;28.55;27.55;29.55;2;24.6;80;4.5
2024.0;8.0;10.0;11.0;29.5;29.5;28.50;30.50;2;25.5;80;4.5
2024.0;8.0;10.0;12.0;30.48;30.48;29.48;31.48;2;26.5;80;4.5
2024.0;8.0;10.0;13.0;31.46;31.46;30.46;32.46;2;27.5;80;4.5
2024.0;8.0;10.0;14.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;8.0;10.0;15.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;8.0;10.0;16.0;30.7;30.7;29.70;31.70;2;26.7;80;4.5
2024.0;8.0;10.0;17.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;8.0;10.0;18.0;30.7;30.7;29.70;31.70;2;26.7;80;4.5
2024.0;8.0;10.0;19.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;8.0;10.0;20.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;8.0;10.0;21.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;8.0;10.0;22.0;28.32;28.32;27.32;29.32;2;24.3;80;4.5
2024.0;8.0;10.0;23.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;8.0;10.0;24.0;26.04;26.04;25.04;27.04;2;22.0;80;4.5
2024.0;8.0;11.0;1.0;26.41;26.41;25.41;27.41;2;22.4;80;4.5
2024.0;8.0;11.0;2.0;27.51;27.51;26.51;28.51;2;23.5;80;4.5
2024.0;8.0;11.0;3.0;26.68;26.68;25.68;27.68;2;22.7;80;4.5
2024.0;8.0;11.0;4.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;8.0;11.0;5.0;26.16;26.16;25.16;27.16;2;22.2;80;4.5
2024.0;8.0;11.0;6.0;27.3;27.3;26.30;28.30;2;23.3;80;4.5
2024.0;8.0;11.0;7.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;8.0;11.0;8.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;8.0;11.0;9.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;8.0;11.0;10.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;8.0;11.0;11.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;8.0;11.0;12.0;29.64;29.64;28.64;30.64;2;25.6;80;4.5
2024.0;8.0;11.0;13.0;30.88;30.88;29.88;31.88;2;26.9;80;4.5
2024.0;8.0;11.0;14.0;30.71;30.71;29.71;31.71;2;26.7;80;4.5
2024.0;8.0;11.0;15.0;30.8;30.8;29.80;31.80;2;26.8;80;4.5
2024.0;8.0;11.0;16.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;8.0;11.0;17.0;29.68;29.68;28.68;30.68;2;25.7;80;4.5
2024.0;8.0;11.0;18.0;29.65;29.65;28.65;30.65;2;25.6;80;4.5
2024.0;8.0;11.0;19.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;8.0;11.0;20.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;8.0;11.0;21.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;8.0;11.0;22.0;27.67;27.67;26.67;28.67;2;23.7;80;4.5
2024.0;8.0;11.0;23.0;28.03;28.03;27.03;29.03;2;24.0;80;4.5
2024.0;8.0;11.0;24.0;27.0;27.0;26.00;28.00;2;23.0;80;4.5
2024.0;8.0;12.0;1.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;8.0;12.0;2.0;26.7;26.7;25.70;27.70;2;22.7;80;4.5
2024.0;8.0;12.0;3.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;8.0;12.0;4.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;8.0;12.0;5.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;8.0;12.0;6.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;12.0;7.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;8.0;12.0;8.0;27.84;27.84;26.84;28.84;2;23.8;80;4.5
2024.0;8.0;12.0;9.0;28.77;28.77;27.77;29.77;2;24.8;80;4.5
2024.0;8.0;12.0;10.0;29.71;29.71;28.71;30.71;2;25.7;80;4.5
2024.0;8.0;12.0;11.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;8.0;12.0;12.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;8.0;12.0;13.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;8.0;12.0;14.0;29.7;29.7;28.70;30.70;2;25.7;80;4.5
2024.0;8.0;12.0;15.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;8.0;12.0;16.0;30.95;30.95;29.95;31.95;2;26.9;80;4.5
2024.0;8.0;12.0;17.0;31.62;31.62;30.62;32.62;2;27.6;80;4.5
2024.0;8.0;12.0;18.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;8.0;12.0;19.0;30.26;30.26;29.26;31.26;2;26.3;80;4.5
2024.0;8.0;12.0;20.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;8.0;12.0;21.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;8.0;12.0;22.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;8.0;12.0;23.0;27.87;27.87;26.87;28.87;2;23.9;80;4.5
2024.0;8.0;12.0;24.0;27.22;27.22;26.22;28.22;2;23.2;80;4.5
2024.0;8.0;13.0;1.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;8.0;13.0;2.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;8.0;13.0;3.0;26.74;26.74;25.74;27.74;2;22.7;80;4.5
2024.0;8.0;13.0;4.0;27.73;27.73;26.73;28.73;2;23.7;80;4.5
2024.0;8.0;13.0;5.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;8.0;13.0;6.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;8.0;13.0;7.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;8.0;13.0;8.0;28.29;28.29;27.29;29.29;2;24.3;80;4.5
2024.0;8.0;13.0;9.0;28.57;28.57;27.57;29.57;2;24.6;80;4.5
2024.0;8.0;13.0;10.0;29.3;29.3;28.30;30.30;2;25.3;80;4.5
2024.0;8.0;13.0;11.0;29.65;29.65;28.65;30.65;2;25.6;80;4.5
2024.0;8.0;13.0;12.0;30.32;30.32;29.32;31.32;2;26.3;80;4.5
2024.0;8.0;13.0;13.0;30.07;30.07;29.07;31.07;2;26.1;80;4.5
2024.0;8.0;13.0;14.0;31.51;31.51;30.51;32.51;2;27.5;80;4.5
2024.0;8.0;13.0;15.0;32.18;32.18;31.18;33.18;2;28.2;80;4.5
2024.0;8.0;13.0;16.0;30.84;30.84;29.84;31.84;2;26.8;80;4.5
2024.0;8.0;13.0;17.0;30.12;30.12;29.12;31.12;2;26.1;80;4.5
2024.0;8.0;13.0;18.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;8.0;13.0;19.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;8.0;13.0;20.0;29.55;29.55;28.55;30.55;2;25.6;80;4.5
2024.0;8.0;13.0;21.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;8.0;13.0;22.0;28.47;28.47;27.47;29.47;2;24.5;80;4.5
2024.0;8.0;13.0;23.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;8.0;13.0;24.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;8.0;14.0;1.0;26.58;26.58;25.58;27.58;2;22.6;80;4.5
2024.0;8.0;14.0;2.0;27.48;27.48;26.48;28.48;2;23.5;80;4.5
2024.0;8.0;14.0;3.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;8.0;14.0;4.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;8.0;14.0;5.0;26.46;26.46;25.46;27.46;2;22.5;80;4.5
2024.0;8.0;14.0;6.0;27.12;27.12;26.12;28.12;2;23.1;80;4.5
2024.0;8.0;14.0;7.0;27.79;27.79;26.79;28.79;2;23.8;80;4.5
2024.0;8.0;14.0;8.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;8.0;14.0;9.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;8.0;14.0;10.0;30.85;30.85;29.85;31.85;2;26.9;80;4.5
2024.0;8.0;14.0;11.0;29.11;29.11;28.11;30.11;2;25.1;80;4.5
2024.0;8.0;14.0;12.0;30.01;30.01;29.01;31.01;2;26.0;80;4.5
2024.0;8.0;14.0;13.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;8.0;14.0;14.0;29.64;29.64;28.64;30.64;2;25.6;80;4.5
2024.0;8.0;14.0;15.0;31.24;31.24;30.24;32.24;2;27.2;80;4.5
2024.0;8.0;14.0;16.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;8.0;14.0;17.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;8.0;14.0;18.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;8.0;14.0;19.0;30.21;30.21;29.21;31.21;2;26.2;80;4.5
2024.0;8.0;14.0;20.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;8.0;14.0;21.0;28.98;28.98;27.98;29.98;2;25.0;80;4.5
2024.0;8.0;14.0;22.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;8.0;14.0;23.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;8.0;14.0;24.0;26.97;26.97;25.97;27.97;2;23.0;80;4.5
2024.0;8.0;15.0;1.0;26.53;26.53;25.53;27.53;2;22.5;80;4.5
2024.0;8.0;15.0;2.0;27.29;27.29;26.29;28.29;2;23.3;80;4.5
2024.0;8.0;15.0;3.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;8.0;15.0;4.0;26.77;26.77;25.77;27.77;2;22.8;80;4.5
2024.0;8.0;15.0;5.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;8.0;15.0;6.0;27.38;27.38;26.38;28.38;2;23.4;80;4.5
2024.0;8.0;15.0;7.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;8.0;15.0;8.0;28.04;28.04;27.04;29.04;2;24.0;80;4.5
2024.0;8.0;15.0;9.0;28.0;28.0;27.00;29.00;2;24.0;80;4.5
2024.0;8.0;15.0;10.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;8.0;15.0;11.0;30.18;30.18;29.18;31.18;2;26.2;80;4.5
2024.0;8.0;15.0;12.0;30.0;30.0;29.00;31.00;2;26.0;80;4.5
2024.0;8.0;15.0;13.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;8.0;15.0;14.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;8.0;15.0;15.0;31.27;31.27;30.27;32.27;2;27.3;80;4.5
2024.0;8.0;15.0;16.0;31.32;31.32;30.32;32.32;2;27.3;80;4.5
2024.0;8.0;15.0;17.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;8.0;15.0;18.0;30.37;30.37;29.37;31.37;2;26.4;80;4.5
2024.0;8.0;15.0;19.0;30.15;30.15;29.15;31.15;2;26.1;80;4.5
2024.0;8.0;15.0;20.0;29.54;29.54;28.54;30.54;2;25.5;80;4.5
2024.0;8.0;15.0;21.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;8.0;15.0;22.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;8.0;15.0;23.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;8.0;15.0;24.0;26.68;26.68;25.68;27.68;2;22.7;80;4.5
2024.0;8.0;16.0;1.0;26.56;26.56;25.56;27.56;2;22.6;80;4.5
2024.0;8.0;16.0;2.0;26.41;26.41;25.41;27.41;2;22.4;80;4.5
2024.0;8.0;16.0;3.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;8.0;16.0;4.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;8.0;16.0;5.0;26.56;26.56;25.56;27.56;2;22.6;80;4.5
2024.0;8.0;16.0;6.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;8.0;16.0;7.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;8.0;16.0;8.0;27.66;27.66;26.66;28.66;2;23.7;80;4.5
2024.0;8.0;16.0;9.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;8.0;16.0;10.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;8.0;16.0;11.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;8.0;16.0;12.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;8.0;16.0;13.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;8.0;16.0;14.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;8.0;16.0;15.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;8.0;16.0;16.0;31.22;31.22;30.22;32.22;2;27.2;80;4.5
2024.0;8.0;16.0;17.0;31.45;31.45;30.45;32.45;2;27.4;80;4.5
2024.0;8.0;16.0;18.0;30.98;30.98;29.98;31.98;2;27.0;80;4.5
2024.0;8.0;16.0;19.0;30.01;30.01;29.01;31.01;2;26.0;80;4.5
2024.0;8.0;16.0;20.0;29.34;29.34;28.34;30.34;2;25.3;80;4.5
2024.0;8.0;16.0;21.0;28.98;28.98;27.98;29.98;2;25.0;80;4.5
2024.0;8.0;16.0;22.0;28.47;28.47;27.47;29.47;2;24.5;80;4.5
2024.0;8.0;16.0;23.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;8.0;16.0;24.0;27.72;27.72;26.72;28.72;2;23.7;80;4.5
2024.0;8.0;17.0;1.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;8.0;17.0;2.0;26.61;26.61;25.61;27.61;2;22.6;80;4.5
2024.0;8.0;17.0;3.0;26.57;26.57;25.57;27.57;2;22.6;80;4.5
2024.0;8.0;17.0;4.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;8.0;17.0;5.0;27.48;27.48;26.48;28.48;2;23.5;80;4.5
